Issue,customfield_10731,customfield_10120,customfield_10121,customfield_10630,customfield_10122,customfield_10830,customfield_10123,customfield_10100,customfield_10126
IMPORT-474,1127793796596,mpv,MPV,MPV03,35720,MPV_batch2,MPVSP_MPV_00039,00039,2
IMPORT-473,1127793796595,mpv,MPV,MPV03,35719,MPV_batch2,MPVSP_MPV_00038,00038,1
IMPORT-472,1127793796594,mpv,MPV,MPV03,35718,MPV_batch2,MPVSP_MPV_00037,00037,2
IMPORT-471,1127793796592,mpv,MPV,MPV03,35716,MPV_batch1,MPVSP_MPV_00035,00035,1
IMPORT-470,1127793796591,mpv,MPV,MPV03,35715,MPV_batch2,MPVSP_MPV_00034,00034,2
IMPORT-469,1126572238158,mpv,MPV,MPV02,34823,MPV_batch1,MPVSP_MPV_00033,00033,
IMPORT-468,1126572238157,mpv,MPV,MPV02,34822,MPV_batch1,MPVSP_MPV_00032,00032,
IMPORT-467,1126572238156,mpv,MPV,MPV02,34821,MPV_batch2,MPVSP_MPV_00031,00031,
IMPORT-466,1126572238148,mpv,MPV,MPV02,34820,MPV_batch1,MPVSP_MPV_00030,00030,
IMPORT-465,1126572238147,mpv,MPV,MPV02,34819,MPV_batch2,MPVSP_MPV_00029,00029,
IMPORT-464,1126572238146,mpv,MPV,MPV02,34818,MPV_batch2,MPVSP_MPV_00028,00028,
IMPORT-463,1126572238145,mpv,MPV,MPV02,34817,,MPVSP_MPV_00027,00027,
IMPORT-462,1126572238103,mpv,MPV,MPV02,34810,MPV_batch2,MPVSP_MPV_00020,00020,
IMPORT-461,1126572238102,mpv,MPV,MPV02,34809,MPV_batch2,MPVSP_MPV_00019,00019,
IMPORT-460,1126572238100,mpv,MPV,MPV02,34807,MPV_batch2,MPVSP_MPV_00017,00017,
IMPORT-459,1126572238098,mpv,MPV,MPV02,34805,,MPVSP_MPV_00015,00015,
IMPORT-458,1126572238097,mpv,MPV,MPV02,34804,,MPVSP_MPV_00014,00014,
IMPORT-457,1126572238096,mpv,MPV,MPV02,34803,,MPVSP_MPV_00013,00013,
IMPORT-456,1126572238095,mpv,MPV,MPV02,34802,MPV_batch1,MPVSP_MPV_00012,00012,
